c SGM      KRG      KRO 
   0.612  0.885    0.000
   0.615  0.893    0.000
   0.617  0.900    0.000
   0.620  0.908    0.000
   0.622  0.916    0.000
   0.625  0.923    0.000
   0.627  0.931    0.000
   0.630  0.939    0.000
   0.632  0.946    0.000
   0.635  0.954    0.000
   0.637  0.962    0.000
   0.640  0.969    0.000
   0.642  0.977    0.000
   0.645  0.985    0.000
   0.647  0.992    0.000
   0.650  1.000    0.000
   0.652  1.000    0.000
   0.655  1.000    0.000
   0.657  1.000    0.000
   0.660  1.000    0.000
   0.662  1.000    0.000
   0.665  1.000    0.000
   0.667  1.000    0.000
   0.670  1.000    0.000
   0.672  1.000    0.000
   0.675  1.000    0.000
   0.677  1.000    0.000
   0.680  1.000    0.000
   0.682  1.000    0.000
   0.685  1.000    0.000
   0.687  1.000    0.000
   0.690  1.000    0.000
   0.692  1.000    0.000
   0.695  1.000    0.000
   0.697  1.000    0.000
   0.700  1.000    0.000
   0.702  1.000    0.000
   0.705  1.000    0.000
   0.707  1.000    0.000
   0.710  1.000    0.000
   0.712  1.000    0.000
   0.715  1.000    0.000
   0.717  1.000    0.000
   0.720  1.000    0.000
   0.722  1.000    0.000
   0.725  1.000    0.000
   0.727  1.000    0.000
   0.730  1.000    0.000
   0.732  1.000    0.000
   0.735  1.000    0.000
   0.737  1.000    0.000
   0.740  1.000    0.000
   0.742  1.000    0.000
   0.745  1.000    0.000
   0.747  1.000    0.001
   0.750  1.000    0.001
   0.752  1.000    0.001
   0.755  1.000    0.001
   0.757  1.000    0.001
   0.760  1.000    0.001
   0.762  1.000    0.001
   0.765  1.000    0.001
   0.767  1.000    0.001
   0.770  1.000    0.001
   0.772  1.000    0.001
   0.775  1.000    0.001
   0.777  1.000    0.001
   0.780  1.000    0.002
   0.782  1.000    0.002
   0.785  1.000    0.002
   0.787  1.000    0.002
   0.790  1.000    0.002
   0.792  1.000    0.002
   0.795  1.000    0.002
   0.797  1.000    0.003
   0.800  1.000    0.003
   0.802  1.000    0.003
   0.805  1.000    0.003
   0.807  1.000    0.003
   0.810  1.000    0.004
   0.812  1.000    0.004
   0.815  1.000    0.004
   0.817  1.000    0.004
   0.820  1.000    0.005
   0.822  1.000    0.005
   0.825  1.000    0.005
   0.827  1.000    0.006
   0.830  1.000    0.006
   0.832  1.000    0.006
   0.835  1.000    0.007
   0.837  1.000    0.007
   0.840  1.000    0.007
   0.842  1.000    0.008
   0.845  1.000    0.008
   0.847  1.000    0.009
   0.850  1.000    0.009
   0.852  1.000    0.009
   0.855  1.000    0.010
   0.857  1.000    0.010
   0.860  1.000    0.011
   0.862  1.000    0.011
   0.865  1.000    0.012
   0.867  1.000    0.013
   0.870  1.000    0.013
   0.872  1.000    0.014
   0.875  1.000    0.014
   0.877  1.000    0.015
   0.880  1.000    0.016
   0.882  1.000    0.016
   0.885  1.000    0.017
   0.887  1.000    0.018
   0.890  1.000    0.019
   0.892  1.000    0.019
   0.895  1.000    0.020
   0.897  1.000    0.021
   0.900  1.000    0.022
   0.902  1.000    0.023
   0.905  1.000    0.024
   0.907  1.000    0.025
   0.910  1.000    0.026
   0.912  1.000    0.027
   0.915  1.000    0.028
   0.917  1.000    0.029
   0.920  1.000    0.030
   0.922  1.000    0.031
   0.925  1.000    0.032
   0.927  1.000    0.033
   0.930  1.000    0.034
   0.932  1.000    0.036
   0.935  1.000    0.037
   0.937  1.000    0.038
   0.940  1.000    0.040
   0.942  1.000    0.041
   0.945  1.000    0.042
   0.947  1.000    0.044
   0.950  1.000    0.045
   0.952  1.000    0.047
   0.955  1.000    0.048
   0.957  1.000    0.050
   0.960  1.000    0.052
   0.962  1.000    0.053
   0.965  1.000    0.055
   0.967  1.000    0.057
   0.970  1.000    0.059
   0.972  1.000    0.061
   0.975  1.000    0.062
   0.977  1.000    0.064
   0.980  1.000    0.066
   0.982  1.000    0.068
   0.985  1.000    0.071
   0.987  1.000    0.073
   0.990  1.000    0.075
   0.992  1.000    0.077
   0.995  1.000    0.079
   0.997  1.000    0.082
   1.000  1.000    0.084
